Month,Day,Hour,降水量（mm/h）,気温（°F）
May,2,19:00,0,61
May,2,20:00,0,57
May,2,21:00,0,55
May,2,22:00,0,54
May,2,23:00,0,54
May,3,00:00,0,54
May,3,01:00,0,54
May,3,02:00,0,54
May,3,03:00,0,52
May,3,04:00,0,52
May,3,05:00,0,52
May,3,06:00,0,52
May,3,07:00,0,54
May,3,08:00,0,59
May,3,09:00,0,63
May,3,10:00,0,66
May,3,11:00,0,68
May,3,12:00,0,70
May,3,13:00,0,70
May,3,14:00,0,68
May,3,15:00,0,68
May,3,16:00,0,66
May,3,17:00,0,66
May,3,18:00,0,64
May,3,19:00,0,63
May,3,20:00,0,61
May,3,21:00,0,59
May,3,22:00,0,59
May,3,23:00,0,59
